Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Mitchel Wojcik,M,SBD,Raw,24.5,24-34,24-39,MR-O,118.8,125,247.5,165.0,242.5,655.0,1,377.44,377.47,361.67,76.48,Yes,USA,IL,USAPL,,2022-10-22,USA,IL,,Windy City Open,Yes
Lance Groat,M,SBD,Raw,52.5,50-54,50-59,MR-O,112.3,125,235.0,155.0,240.0,630.0,2,370.28,368.48,352.41,75.42,Yes,USA,IL,USAPL,,2022-10-22,USA,IL,,Windy City Open,Yes
John Fawbush,M,SBD,Raw,27.0,24-34,24-39,MR-O,110.4,125,225.0,152.5,245.0,622.5,3,368.18,365.93,349.78,75.1,Yes,USA,IL,USAPL,,2022-10-22,USA,IL,,Windy City Open,Yes
Grant Yu,M,SBD,Raw,23.5,24-34,24-39,MR-O,82.0,82.5,182.5,120.0,225.0,527.5,1,358.56,354.67,341.36,73.47,Yes,USA,IL,USAPL,,2022-10-22,USA,IL,,Windy City Open,Yes
Dhrumil Shah,M,SBD,Raw,26.5,24-34,24-39,MR-O,82.2,82.5,125.0,100.0,150.0,375.0,3,254.55,251.77,242.29,52.16,Yes,USA,IL,USAPL,,2022-10-22,USA,IL,,Windy City Open,Yes
Louis Gumma,M,SBD,Raw,22.0,20-23,19-23,MR-O,103.4,105,245.0,165.0,255.0,665.0,1,403.58,399.57,381.53,82.69,Yes,USA,IL,USAPL,IPF,2016-09-10,USA,IN,,Southern Indiana Fall Raw Classic,Yes
Bill Coyne,M,SBD,Raw,25.5,24-34,24-39,MR-O,102.2,105,222.5,160.0,240.0,622.5,2,379.62,375.66,358.71,77.83,Yes,USA,IL,USAPL,IPF,2016-09-10,USA,IN,,Southern Indiana Fall Raw Classic,Yes
Ricky Zheng,M,SBD,Raw,21.5,20-23,19-23,MR-O,89.5,90,255.0,167.5,277.5,700.0,1,453.9,448.15,429.61,93.32,Yes,USA,IL,USAPL,,2022-09-03,USA,WI,,Stars And Stripes Open,Yes
Robert Spangler,M,SBD,Raw,25.5,24-34,24-39,MR-O,86.4,90,212.5,147.5,252.5,612.5,2,404.51,399.56,383.65,83.09,Yes,USA,IL,USAPL,,2022-09-03,USA,WI,,Stars And Stripes Open,Yes
Alex Escamilla,M,SBD,Raw,17.5,18-19,14-18,MR-O,94.4,100,215.0,132.5,252.5,600.0,4,379.05,374.3,358.04,77.92,Yes,USA,IL,USAPL,,2022-09-03,USA,WI,,Stars And Stripes Open,Yes
Emery Liu,M,SBD,Raw,19.5,20-23,19-23,MR-O,72.0,74,142.5,90.0,167.5,400.0,7,294.74,293.48,284.07,59.57,Yes,USA,IL,USAPL,IPF,2017-11-04,USA,NY,,Ivy League Championships II,Yes
Richard Aluko,M,SBD,Raw,42.0,40-44,40-49,MR-O,82.1,83,250.0,150.0,290.0,690.0,1,468.69,463.59,446.16,96.04,Yes,USA,IL,USAPL,IPF,2016-06-10,USA,GA,,Summer Showdown,Yes
Daniel Thiel,M,SBD,Raw,29.5,24-34,24-39,MR-O,71.3,74,200.0,112.5,242.5,555.0,2,411.66,410.17,397.18,83.07,Yes,USA,IL,USAPL,IPF,2016-01-16,USA,WI,,Wisconsin State Open,Yes
Leo Kim,M,SBD,Raw,25.5,24-34,24-39,MR-O,82.0,83,195.0,142.5,250.0,587.5,1,399.35,395.01,380.19,81.83,Yes,USA,IL,USAPL,IPF,2016-01-16,USA,WI,,Wisconsin State Open,Yes
Tim Cribbin,M,SBD,Raw,24.5,24-34,24-39,MR-O,89.0,93,200.0,130.0,232.5,562.5,14,365.78,361.17,346.31,75.19,Yes,USA,IL,USAPL,IPF,2016-01-16,USA,WI,,Wisconsin State Open,Yes
Jessica Enriquez,F,SBD,Raw,29.5,24-34,24-39,FR-O,53.9,57,110.0,57.5,152.5,320.0,1,380.55,387.95,343.48,78.41,Yes,USA,IL,USAPL,IPF,2016-01-16,USA,WI,,Wisconsin State Open,Yes
Bonnie Miller,F,SBD,Raw,32.5,24-34,24-39,FR-O,61.1,63,80.0,55.0,105.0,240.0,6,263.04,263.85,233.07,53.58,Yes,USA,IL,USAPL,IPF,2016-01-16,USA,WI,,Wisconsin State Open,Yes
