Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Ariana Tello,F,SBD,Raw,29.5,24-34,24-39,FR-O,54.05,56,130,77.5,142.5,350,1,415.44,423.4,374.83,85.57,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Sarah Wood,F,SBD,Raw,18.5,18-19,19-23,FR-O,55.7,56,87.5,57.5,145,290,2,337.34,342.66,303.13,69.23,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Reighza Mirah Lacaya,F,SBD,Raw,22.5,20-23,19-23,FR-O,58.65,60,120,65,142.5,327.5,1,368.34,371.64,328.47,75.23,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Kaitlin Ross,F,SBD,Raw,23.5,24-34,24-39,FR-O,72,75,95,50,105,250,2,248.9,244.01,214.94,50.62,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Elizabeth Coronado,F,SBD,Raw,17.5,18-19,14-18,FR-O,86.6,90,145,62.5,182.5,390,1,353.78,342.72,298.92,72.8,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Esther Spero,F,SBD,Raw,45.5,45-49,40-49,FR-O,99.85,100,90,60,100,250,1,213.46,208.24,178.92,44.6,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Paige Skrele,F,SBD,Raw,25.5,24-34,24-39,FR-O,63.35,67.5,147.5,77.5,147.5,372.5,1,399.28,398.38,351.75,81.21,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Stella Tan,F,SBD,Raw,23.5,24-34,24-39,FR-O,64.6,67.5,112.5,50,112.5,275,2,291.33,289.83,255.84,59.22,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Dolcelino Buonincontro,M,SBD,Raw,14.5,13-15,14-18,MR-O,59.7,60,102.5,62.5,130,295,1,250.02,252.75,246.89,48.51,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Giao Nguyen,M,SBD,Raw,25.5,24-34,24-39,MR-O,74.9,75,165,102.5,205,472.5,1,339.27,337,325.64,68.93,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Brandon Cavazos,M,SBD,Raw,25.5,24-34,24-39,MR-O,74.7,75,100,87.5,120,307.5,2,221.17,219.73,212.34,44.92,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Jacob Marcus,M,SBD,Raw,21.5,20-23,19-23,MR-O,82.6,90,200,110,210,520,1,352,348.1,334.92,72.16,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Alexander Girona,M,SBD,Raw,24.5,24-34,24-39,MR-O,98.4,100,247.5,135,242.5,625,1,387.43,382.88,365.81,79.56,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
James Kellerman,M,SBD,Raw,17,16-17,14-18,MR-O,98,100,195,140,200,535,2,332.24,328.3,313.69,68.24,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Lance Groat,M,SBD,Raw,52.5,50-54,50-59,MR-O,107.5,110,217.5,147.5,245,610,1,364.48,361.61,345.41,74.5,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Alex Hernandez-Reyes,M,SBD,Raw,17.5,18-19,14-18,MR-O,121.1,125,227.5,152.5,210,590,2,337.82,338.5,324.37,68.31,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Yigit Atas,M,SBD,Raw,19.5,20-23,19-23,MR-O,112.3,125,217.5,127.5,240,585,3,343.83,342.16,327.24,70.04,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Tracy Wood,M,SBD,Raw,54.5,50-54,50-59,MR-O,114.9,125,125,85,190,400,4,233.17,232.47,222.52,47.4,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Tony Rodriguez #5,M,SBD,Raw,18.5,18-19,19-23,MR-O,67.2,67.5,182.5,90,195,467.5,1,361.49,361.74,351.21,72.19,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Zachary Haines,M,SBD,Raw,22.5,20-23,19-23,MR-O,81.7,82.5,227.5,117.5,272.5,617.5,1,420.62,416.11,400.56,86.16,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Thomas Graeb,M,SBD,Raw,18.5,18-19,19-23,MR-O,82,82.5,205,112.5,240,557.5,2,378.95,374.84,360.77,77.65,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Domingo Conejo,M,SBD,Raw,18.5,18-19,19-23,MR-O,81.4,82.5,197.5,115,197.5,510,4,348.13,344.44,331.62,71.3,Yes,USA,IL,USAPL,,5/22/22,USA,IL,,Chicagoland Open,Yes
Declan Larakers,M,SBD,Raw,18.5,18-19,19-23,MR-O,73.7,75,177.5,100,185,462.5,1,335.58,333.65,322.62,68.04,Yes,USA,IL,USAPL,,12/16/23,USA,LA,,Strong Hawk Invitational,Yes
Shala Schmookler,F,SBD,Raw,16.5,16-17,14-18,FR-O,41.2,47,72.5,52.5,105,230,1,333.5,337.66,305.5,73.6,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Kristine Phommaviseth,F,SBD,Raw,23.5,24-34,24-39,FR-O,54.6,57,90,42.5,137.5,270,1,318.3,324.05,286.8,65.48,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Eliza Zarebski,F,SBD,Raw,18.5,18-19,19-23,FR-O,56.35,57,72.5,50,97.5,220,2,253.96,257.59,227.82,52.05,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Paige Skrele,F,SBD,Raw,24.5,24-34,24-39,FR-O,60.85,63,137.5,67.5,132.5,337.5,1,370.84,372.21,328.8,75.56,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Emily Harries,F,SBD,Raw,30,24-34,24-39,FR-O,62.15,63,95,45,105,245,3,265.7,265.85,234.79,54.08,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
